Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1564,NII Holdings,Telecommunications Services,United States,3300.0,380,5440.0,6750.0
2009,1720,NII Holdings,Telecommunications Services,United States,4270.0,370,5090.0,2120.0
2010,1140,NII Holdings,Telecommunications Services,United States,4400.0,380,7550.0,6300.0
2011,1360,NII Holdings,Telecommunications services,United States,5601.0,341.0,8191.0,6583.0
2016,1765,NII Holdings,Telecommunications services,United States,1714.0,1107.6,2730.0,557.0
