Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1718,Korea Investment Holdings,Diversified Financials,South Korea,1280.0,290,13300.0,780.0
2016,1834,Korea Investment Holdings,Diversified Financials,South Korea,1242.0,286.5,26882.0,2421.0
2017,1936,Korea Investment Holdings,Diversified Financials,South Korea,1269.0,241.1,30898.0,2440.0
2018,1521,Korea Investment Holdings,Diversified Financials,South Korea,1783.0,451.3,45531.0,5150.0
2019,1441,Korea Investment Holdings,Diversified Financials,South Korea,2254.0,481.0,57361.0,3616.0
2020,1293,Korea Investment Holdings,Diversified Financials,South Korea,2555.0,652.2,52546.0,2401.0
2021,1172,Korea Investment Holdings,Diversified Financials,South Korea,2315.0,731.8,64842.0,5545.0
2022,1141,Korea Investment Holdings,Diversified Financials,South Korea,3063.0,1540.7,69011.0,3511.0
