Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,1464,Capita,Business Services & Supplies,United Kingdom,5450.0,383.7,6278.0,8741.0
2014,1554,Capita,Business Services & Supplies,United Kingdom,6019.0,277.0,7622.0,12123.0
2015,1391,Capita,Business Services & Supplies,United Kingdom,7199.0,388.4,8383.0,11064.0
2016,1616,Capita,Business Services & Supplies,United Kingdom,7141.0,80.5,7876.0,9731.0
