Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1746,OGX,Oil & Gas Operations,Brazil,0.0,0,2460.0,7690.0
2010,1461,OGX,Oil & Gas Operations,Brazil,0.0,160,4180.0,29300.0
2011,1545,OGX,Oil & Gas Operations,Brazil,,5.5,5964.0,36725.0
2012,1527,OGX,Oil & Gas Operations,Brazil,,-258.0,7693.0,30504.0
