Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2019,1911,CoStar Group,IT Software & Services,United States,1192.0,238.0,3313.0,17560.0
2020,1721,CoStar Group,IT Software & Services,United States,1463.0,302.6,4685.0,23808.0
2021,1808,CoStar Group,IT Software & Services,United States,1659.0,227.1,6915.0,35698.0
2022,1928,CoStar Group,IT Software & Services,United States,1944.0,292.6,7257.0,24173.0
