Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1128,Sanyo Electric,Technology Hardware & Equipment,Japan,19650.0,-390,16650.0,3970.0
2009,856,Sanyo Electric,Technology Hardware & Equipment,Japan,20880.0,290,16810.0,2640.0
