Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2019,1721,Inner Mongolia Yitai Coal,Materials,China,5703.0,630.0,13772.0,3863.0
2022,1593,Inner Mongolia Yitai Coal,Materials,China,7490.0,1343.0,14512.0,4165.0
