Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2020,1987,Just Group,Insurance,United Kingdom,4880.0,364.6,29359.0,729.0
2021,1844,Just Group,Insurance,United Kingdom,5957.0,212.2,34230.0,1551.0
