Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2019,753,Neste,Oil & Gas Operations,Finland,17601.0,918.0,9401.0,27795.0
2020,620,Neste,Oil & Gas Operations,Finland,17044.0,1886.5,10786.0,27190.0
2021,716,Neste,Oil & Gas Operations,Finland,13396.0,812.8,12009.0,45688.0
2022,671,Neste,Oil & Gas Operations,Finland,17905.0,2093.3,14189.0,36312.0
