Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2017,55,Postal Savings Bank Of China,Banking,China,48036.0,6009.7,1189391.0,55157.0
2018,56,Postal Savings Bank Of China,Banking,China,56103.0,7633.6,1466597.0,55330.0
